Name,Date,Seconds,Comment
Study Flashcards,"Nov 12, 2022 at 2:53:35 PM",4676,
Study Flashcards,"Nov 13, 2022 at 9:22:16 AM",4152,
Study Flashcards,"Nov 14, 2022 at 2:05:18 PM",3369,
Study Flashcards,"Nov 15, 2022 at 8:02:24 AM",5051,
Study Flashcards,"Nov 16, 2022 at 8:45:16 AM",4130,
Study Flashcards,"Nov 17, 2022 at 8:34:28 AM",4785,
Study Flashcards,"Nov 18, 2022 at 2:36:42 PM",3992,
Study Flashcards,"Nov 19, 2022 at 12:28:18 PM",4639,
Study Flashcards,"Nov 20, 2022 at 2:49:31 PM",3619,
Study Flashcards,"Nov 21, 2022 at 8:43:38 AM",2225,
Study Flashcards,"Nov 21, 2022 at 10:27:19 AM",820,